stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14470,null,Terminal Santa Cândida,,-25.377073433216,-49.224360178147,,,1,,,
14471,null,Terminal Boa Vista,,-25.393294577886,-49.24105091786,,,1,,,
14474,null,Terminal Cabral,,-25.4066589,-49.2527914,,,1,,,
14476,null,Terminal Bairro Alto,,-25.413046936459,-49.205480354393,,,1,,,
14478,null,Terminal Capão da Imbuia,,-25.4399803,-49.2218581,,,1,,,
14481,null,Terminal Oficinas,,-25.451504600604,-49.214964225725,,,1,,,
14483,null,Terminal Centenário,,-25.469004454165,-49.208112189549,,,1,,,
14485,null,Terminal Carmo,,-25.501302655486,-49.237642198811,,,1,,,
14487,null,Terminal Hauer,,-25.481926661231,-49.24699894184,,,1,,,
14489,null,Terminal Boqueirão,,-25.516774778393,-49.230441030758,,,1,,,
14492,null,Terminal Sítio Cercado,,-25.534177405178,-49.267780491401,,,1,,,
14494,null,Terminal Pinheirinho,,-25.512487353173,-49.295048108598,,,1,,,
14497,null,Terminal Capão Raso,,-25.4920013,-49.2936865,,,1,,,
14499,null,Terminal Portão,,-25.4763353,-49.2926288,,,1,,,
14503,null,Terminal CIC,,-25.511654050551,-49.324538920807,,,1,,,
14506,null,Terminal Campina do Siqueira,,-25.436086,-49.3075959,,,1,,,
14508,null,Terminal Campo Comprido,,-25.44161403436,-49.346739524467,,,1,,,
14510,null,Terminal Santa Felicidade,,-25.400933329298,-49.330278803041,,,1,,,
14512,null,Terminal Fazendinha,,-25.477340112433,-49.327037532472,,,1,,,
14515,null,Terminal Caiuá,,-25.483723977821,-49.350160437586,,,1,,,
14517,null,Terminal Barreirinha,,-25.377432367018,-49.262446388955,,,1,,,
14524,null,Terminal Pinhais,,-25.440034804924,-49.182830990144,,,1,,,
14531,null,Terminal Angélica,Ponto de Parada H12 - Araucária / Portão,-25.53460012311,-49.361354674061,,,1,,,
14541,null,Terminal Roça Grande,B74 - Ctba / Jd. Cezar Augusto,-25.345602216359,-49.220113483824,,,1,,,
14553,null,Estação Tubo Praça Eufrásio Correia,Praça Eufrásio Correia - Santa Cândida / Centenário / Pinhais,-25.437655220405,-49.266631957104,,,1,,,
14555,null,Estação Tubo Paiol,,-25.448163570983,-49.258018546182,,,1,,,
14560,null,Estação Tubo Centro Cívico - Assembléia,,-25.415623625647,-49.266385533164,,,1,,,
